"Year","Month","Day","j_day","hour","H","u","w","VPTG","Zic","Zim","L","z0","Bowen","r","Ws","Wd","Zref","temp","Ztemp","ipcode","pamt","rh","pres","ccvr","WSADJ"
19,12,31,365,19,-8,0.359999984502792,0.372658678090579,-9,230.562393188477,178.624160766602,519.639563162769,0.0109999999403954,1.42272727272727,1,5.31801128387451,27.1706239336623,10,269.328002929688,2,11,1.41500008106232,89.5,9826,8,"ADJ"
19,12,31,365,18,-7,0.329999983310699,0.367769701009496,-9,253.258316040039,178.592926025391,457.422620102729,0.0109999999403954,1.42272727272727,1,4.81676864624023,25.1984673685764,10,269.3212890625,2,11,2.04000020027161,90.2000045776367,9840,9,"ADJ"
19,12,31,365,17,-5,0.25,0.331740246279627,-9,260.230621337891,3035.97119140625,278.435076185687,0.0379000008106232,1.42272727272727,1,3.75369691848755,32.7757212143518,10,269.3212890625,2,11,1.78600013256073,89.4000015258789,9855,10,"ADJ"
19,12,31,365,16,10,0.370000004768372,0.407137308729837,-9,240.808547973633,3040.45434570312,-451.850109726001,0.0379000008106232,0.5,1,5.44168138504028,42.7602301755659,10,269.641021728516,2,11,2.69600009918213,88.8000030517578,9862,10,"ADJ"
19,12,31,365,15,20,0.359999984502792,0.487845256916538,-9,207.490234375,178.480285644531,-208.448538939439,0.0379000008106232,0.666666666666667,1,5.25316858291626,48.1192554902269,10,270.096008300781,2,11,2.34000015258789,87.9000015258789,9875,10,"ADJ"
19,12,31,365,14,38,0.370000004768372,0.606124573677486,-9,209.579956054688,178.471466064453,-119.181615411596,0.0379000008106232,0.95,1,5.19036149978638,54.2046733372787,10,270.261657714844,2,11,1.6340000629425,89.4000015258789,9889,10,"ADJ"
19,12,31,365,13,41,0.329999983310699,0.698241058385808,-9,296.872283935547,178.365600585938,-78.3493264787214,0.0379000008106232,1.025,1,4.56387710571289,62.039645843803,10,270.193023681641,2,11,2.35199999809265,88.8000030517578,9911,10,"ADJ"
19,12,31,365,12,40,0.349999994039536,0.657937233218771,-9,253.893402099609,178.240371704102,-95.5525193153965,0.0379000008106232,1.33333333333333,1,4.87783050537109,70.3319007222434,10,269.460296630859,2,11,1.9980001449585,89.8000030517578,9927,10,"ADJ"
19,12,31,365,11,24,0.310000002384186,0.573886026389309,-9,280.164947509766,178.301422119141,-110.398188636817,0.0379000008106232,1,1,4.38143014907837,81.921716985087,10,268.834411621094,2,11,2.11199998855591,89.0999984741211,9947,10,"ADJ"
19,12,31,365,10,8,0.329999983310699,0.407703652466857,-9,301.281036376953,178.270172119141,-399.410752742755,0.0379000008106232,0.470588235294118,1,4.81857681274414,85.758034575549,10,268.760070800781,2,11,1.54200005531311,86,9958,9,"ADJ"
19,12,31,365,9,-4,0.269999980926514,0.327031373446154,-9,310.551513671875,178.20866394043,436.914647526113,0.0379000008106232,0.666666666666667,1,4.00316905975342,90.5899811465131,10,268.387420654297,2,11,0.18800000846386,86.7000045776367,9964,10,"ADJ"
19,12,31,365,8,-8,0.25,0.407617338635841,-9,300.798645019531,178.360229492188,173.491404526095,0.0379000008106232,2,1,3.62830328941345,80.4461959570838,10,268.500244140625,2,11,1.19999992847443,85.9000015258789,9970,9,"ADJ"
19,12,31,365,7,-8,0.269999980926514,0.403769237152377,-9,292.308197021484,178.362060546875,218.510605922032,0.0379000008106232,1.33333333333333,1,3.94098711013794,87.1126153516233,10,268.452880859375,2,11,1.05999994277954,84.8000030517578,9976,4,"ADJ"
19,12,31,365,6,-8,0.299999982118607,0.409807322843325,-9,305.637939453125,178.326599121094,299.758712440392,0.0379000008106232,0.888888888888889,1,4.50060176849365,80.5034656631913,10,268.469451904297,2,11,0.54200005531311,83,9978,5,"ADJ"
19,12,31,365,5,-14,0.269999980926514,0.515159966810212,-9,347.381774902344,178.225067138672,125.029334423286,0.0379000008106232,2.33333333333333,1,4.00501012802124,81.3302825656942,10,268.81005859375,2,11,0.407000005245209,81.4000015258789,9993,6,"ADJ"
19,12,31,365,4,-5,0.119999997317791,0.380985902495351,-9,392.793884277344,178.208038330078,30.6846883883995,0.0379000008106232,5,1,2.12868642807007,54.0453026903459,10,268.376678466797,2,11,0.160000011324883,84.5999984741211,10003,10,"ADJ"
